 ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
 1,0.000,0.000,0.001,0.001,ElementPath.py:59(<module>)
 1,0.000,0.000,0.000,0.000,ElementTree.py:104(ParseError)
 1,0.000,0.000,0.000,0.000,ElementTree.py:1138(_ListDataStream)
 4,0.000,0.000,0.003,0.001,ElementTree.py:1186(parse)
 3,0.000,0.000,0.000,0.000,ElementTree.py:1200(iterparse)
 1100,0.000,0.000,0.007,0.000,ElementTree.py:1218(iterator)
 1,0.000,0.000,0.000,0.000,ElementTree.py:123(Element)
 3,0.000,0.000,0.000,0.000,ElementTree.py:1234(IterParseIterator)
 1,0.000,0.000,0.000,0.000,ElementTree.py:1248(XMLPullParser)
 3,0.000,0.000,0.000,0.000,ElementTree.py:1250(__init__)
 2,0.000,0.000,0.006,0.003,ElementTree.py:1262(feed)
 2,0.000,0.000,0.000,0.000,ElementTree.py:1272(_close_and_return_root)
 1103,0.000,0.000,0.001,0.000,ElementTree.py:1286(read_events)
 1,0.000,0.000,0.000,0.000,ElementTree.py:1360(TreeBuilder)
 1,0.000,0.000,0.000,0.000,ElementTree.py:1435(XMLParser)
 7,0.000,0.000,0.000,0.000,ElementTree.py:1446(__init__)
 3,0.000,0.000,0.000,0.000,ElementTree.py:1488(_setevents)
 1097,0.000,0.000,0.002,0.000,ElementTree.py:1506(handler)
 4615,0.001,0.000,0.001,0.000,ElementTree.py:1527(_fixname)
 1524,0.002,0.000,0.003,0.000,ElementTree.py:1538(_start)
 1524,0.001,0.000,0.001,0.000,ElementTree.py:1550(_end)
 12,0.000,0.000,0.000,0.000,ElementTree.py:1553(_default)
 6,0.000,0.000,0.008,0.001,ElementTree.py:1621(feed)
 6,0.000,0.000,0.000,0.000,ElementTree.py:1628(close)
 1,0.000,0.000,0.002,0.002,ElementTree.py:34(<module>)
 1,0.000,0.000,0.002,0.002,ElementTree.py:36(_get_py3_cls)
 1,0.000,0.000,0.000,0.000,ElementTree.py:494(QName)
 1,0.000,0.000,0.000,0.000,ElementTree.py:542(ElementTree)
 4,0.000,0.000,0.000,0.000,ElementTree.py:553(__init__)
 4,0.000,0.000,0.003,0.001,ElementTree.py:573(parse)
 3,0.000,0.000,0.000,0.000,ElementTree.py:610(iter)
 3,0.000,0.000,0.000,0.000,ElementTree.py:623(getiterator)
 1,0.000,0.000,0.000,0.000,ElementTree.py:676(findall)
 1,0.000,0.000,0.000,0.000,ElementTree.py:68(DefusedXMLParser)
 7,0.000,0.000,0.000,0.000,ElementTree.py:69(__init__)
 1,0.000,0.000,0.002,0.002,ElementTree.py:7(<module>)
 1,0.000,0.000,0.000,0.000,__config__.py:3(<module>)
 1,0.000,0.000,0.000,0.000,__future__.py:48(<module>)
 1,0.000,0.000,0.000,0.000,__future__.py:78(_Feature)
 9,0.000,0.000,0.000,0.000,__future__.py:79(__init__)
 33,0.001,0.000,0.538,0.016,__init__.py:1(<module>)
 2,0.000,0.000,0.014,0.007,__init__.py:10(<module>)
 1,0.000,0.000,0.000,0.000,__init__.py:10(PerformanceWarning)
 1,0.000,0.000,0.048,0.048,__init__.py:101(<module>)
 1,0.000,0.000,0.000,0.000,__init__.py:1010(FileHandler)
 1,0.000,0.000,0.000,0.000,__init__.py:103(ParserWarning)
 1,0.000,0.000,0.005,0.005,__init__.py:1056(rc_params_from_file)
 1,0.000,0.000,0.167,0.167,__init__.py:106(<module>)
 1,0.000,0.000,0.000,0.000,__init__.py:1078(<listcomp>)
 1,0.000,0.000,0.000,0.000,__init__.py:1079(_StderrHandler)
 1,0.000,0.000,0.002,0.002,__init__.py:108(import_module)
 593,0.000,0.000,0.016,0.000,__init__.py:1082(<genexpr>)
 1,0.000,0.000,0.000,0.000,__init__.py:1085(__init__)
 1,0.000,0.000,0.000,0.000,__init__.py:1103(PlaceHolder)
 592,0.001,0.000,0.015,0.000,__init__.py:111(resource_exists)
 1,0.000,0.000,0.000,0.000,__init__.py:1120(<listcomp>)
 1,0.000,0.000,0.000,0.000,__init__.py:1145(Manager)
 1,0.000,0.000,0.000,0.000,__init__.py:1150(__init__)
 4,0.000,0.000,0.000,0.000,__init__.py:1161(getLogger)
 4,0.000,0.000,0.000,0.000,__init__.py:1212(_fixupParents)
 1,0.000,0.000,0.000,0.000,__init__.py:122(<listcomp>)
 1,0.000,0.000,0.000,0.000,__init__.py:125(lrange)
 1,0.000,0.000,0.000,0.000,__init__.py:1253(Logger)
 1,0.000,0.000,0.000,0.000,__init__.py:1264(rc_context)
 5,0.000,0.000,0.000,0.000,__init__.py:1268(__init__)
 1,0.000,0.000,0.000,0.000,__init__.py:1274(<dictcomp>)
 1,0.000,0.000,0.008,0.008,__init__.py:128(__go)
 1,0.000,0.000,0.000,0.000,__init__.py:1280(setLevel)
 8,0.000,0.000,0.000,0.000,__init__.py:1286(debug)
 114,0.000,0.000,0.000,0.000,__init__.py:137(<genexpr>)
 14,0.000,0.000,0.000,0.000,__init__.py:139(_check_size)
 1,0.000,0.000,0.000,0.000,__init__.py:1424(is_interactive)
 1,0.000,0.000,0.000,0.000,__init__.py:144(MergeError)
 1,0.000,0.000,0.008,0.008,__init__.py:15(<module>)
 1,0.000,0.000,0.000,0.000,__init__.py:151(NullFrequencyError)
 1,0.000,0.000,0.000,0.000,__init__.py:151(py_object)
 8,0.000,0.000,0.000,0.000,__init__.py:1530(getEffectiveLevel)
 8,0.000,0.000,0.000,0.000,__init__.py:1544(isEnabledFor)
 1,0.000,0.000,0.000,0.000,__init__.py:1576(RootLogger)
 1,0.000,0.000,0.000,0.000,__init__.py:1582(__init__)
 1,0.000,0.000,0.000,0.000,__init__.py:159(AccessorRegistrationWarning)
 1,0.000,0.000,0.000,0.000,__init__.py:1590(LoggerAdapter)
 1,0.000,0.000,0.000,0.000,__init__.py:16(DeprecatedTzFormatWarning)
 1,0.000,0.000,0.000,0.000,__init__.py:16(UnsupportedFunctionCall)
 1,0.000,0.000,0.000,0.000,__init__.py:160(c_short)
 1,0.000,0.000,0.000,0.000,__init__.py:163(AbstractMethodError)
 1,0.000,0.000,0.000,0.000,__init__.py:164(c_ushort)
 1,0.000,0.000,0.000,0.000,__init__.py:168(c_long)
 1,0.000,0.000,0.000,0.000,__init__.py:17(<module>)
 1,0.000,0.000,0.000,0.000,__init__.py:172(c_ulong)
 2,0.000,0.000,0.000,0.000,__init__.py:175(compare_versions)
 1,0.000,0.000,0.000,0.000,__init__.py:1769(Locked)
 1,0.000,0.000,0.000,0.000,__init__.py:1784(TimeoutError)
 1,0.000,0.000,0.000,0.000,__init__.py:181(c_int)
 4,0.000,0.000,0.000,0.000,__init__.py:1838(getLogger)
 1,0.000,0.000,0.000,0.000,__init__.py:185(c_uint)
 3,0.000,0.000,0.000,0.000,__init__.py:1876(_str_equal)
 1,0.000,0.000,0.000,0.000,__init__.py:189(c_float)
 57,0.000,0.000,0.000,0.000,__init__.py:19(__new__)
 7,0.000,0.000,0.000,0.000,__init__.py:190(_checkLevel)
 1,0.000,0.000,0.000,0.000,__init__.py:192(UTC)
 1,0.000,0.000,0.000,0.000,__init__.py:193(c_double)
 1,0.000,0.000,0.000,0.000,__init__.py:1966(NullHandler)
 1,0.000,0.000,0.000,0.000,__init__.py:197(c_longdouble)
 4,0.000,0.000,0.021,0.005,__init__.py:2(<module>)
 1,0.000,0.000,0.000,0.000,__init__.py:20(__deprecated_private_func)
 1,0.000,0.000,0.000,0.000,__init__.py:2020(_OrderedSet)
 1,0.000,0.000,0.009,0.009,__init__.py:206(_sanity_check)
 1,0.000,0.000,0.000,0.000,__init__.py:218(c_ubyte)
 5,0.000,0.000,0.000,0.000,__init__.py:219(_acquireLock)
 125,0.000,0.000,0.000,0.000,__init__.py:221(iteritems)
 1,0.000,0.000,0.000,0.000,__init__.py:225(c_byte)
 1,0.000,0.000,0.000,0.000,__init__.py:225(silent_list)
 1,0.000,0.000,0.000,0.000,__init__.py:227(itervalues)
 5,0.000,0.000,0.000,0.000,__init__.py:228(_releaseLock)
 1,0.000,0.000,0.004,0.004,__init__.py:23(<module>)
 1,0.000,0.000,0.000,0.000,__init__.py:23(UnsortedIndexError)
 1,0.000,0.000,0.000,0.000,__init__.py:230(c_char)
 323,0.000,0.000,0.000,0.000,__init__.py:233(bind_method)
 1,0.000,0.000,0.000,0.000,__init__.py:235(c_char_p)
 1,0.000,0.000,0.000,0.000,__init__.py:239(LogRecord)
 1,0.000,0.000,0.005,0.005,__init__.py:24(<module>)
 1,0.000,0.000,0.000,0.000,__init__.py:241(c_void_p)
 1,0.000,0.000,0.000,0.000,__init__.py:246(c_bool)
 1,0.000,0.000,0.099,0.099,__init__.py:25(<module>)
 14,0.000,0.000,0.000,0.000,__init__.py:25(register_func)
 1,0.000,0.000,0.000,0.000,__init__.py:250(IgnoredKeywordWarning)
 1,0.000,0.000,0.000,0.000,__init__.py:251(c_wchar_p)
 1,0.000,0.000,0.000,0.000,__init__.py:256(c_wchar)
 1,0.000,0.000,0.000,0.000,__init__.py:259(_reset_cache)
 1,0.000,0.000,0.000,0.000,__init__.py:265(_parse_commandline)
 1,0.000,0.000,0.003,0.003,__init__.py:27(<module>)
 9,0.000,0.000,0.000,0.000,__init__.py:275(u)
 267292,0.120,0.000,0.193,0.000,__init__.py:281(to_str)
 1,0.000,0.000,0.000,0.000,__init__.py:286(Verbose)
 1,0.000,0.000,0.000,0.000,__init__.py:288(_CountryTimezoneDict)
 1770,0.000,0.000,0.000,0.000,__init__.py:291(strlen)
 1,0.000,0.000,0.000,0.000,__init__.py:292(<dictcomp>)
 4,0.000,0.000,0.074,0.019,__init__.py:3(<module>)
 2,0.000,0.000,0.000,0.000,__init__.py:302(loads)
 1,0.000,0.000,0.000,0.000,__init__.py:308(__init__)
 209,0.000,0.000,0.000,0.000,__init__.py:309(set_function_name)
 1,0.000,0.000,0.000,0.000,__init__.py:311(CDLL)
